Area,Locality,Age,Crime ratio,Nitrogen/CO2 percentage,Adult to Children ratio,Earthquake zone,Government projects,Natural calamities,Rental / Monthly commercial income,ROI,Trend of property cost,Reputation of property developer,Current pricing,Scalable property
3113,Village C,30,0.78,0.9,5.63,Low risk zone,Expansion of public transportation system,TRUE,8560.41,81.25,Stable,Average,675242.73,FALSE
1539,City A,19,0.12,76.61,7.53,High risk zone,Expansion of public transportation system,TRUE,8433.26,43.17,Increasing,Poor,512659.73,TRUE
6448,Countryside I,16,0.47,39.6,0.06,High risk zone,Infrastructure development in rural areas,TRUE,4463.91,87.59,Stable,Poor,776061.04,TRUE
5033,Hamlet E,5,0.88,96.19,7.86,Moderate risk zone,Renovation of public parks,FALSE,5641.02,64.43,Decreasing,Terrible,987211.13,TRUE
7909,Suburb D,33,0.65,73.71,2.97,Moderate risk zone,Renovation of public parks,FALSE,6040.58,69.43,Decreasing,Good,70544.34,FALSE
9927,Neighborhood F,32,0.48,4.52,2.78,Moderate risk zone,Construction of new schools,TRUE,6769.78,94.84,Increasing,Excellent,215742.91,FALSE
7432,Urban Area H,37,0.54,55.14,8.5,Low risk zone,Infrastructure development in rural areas,TRUE,9054.04,78.47,Stable,Excellent,736619.56,TRUE
7239,Countryside I,3,0.59,67.46,3.99,High risk zone,Infrastructure development in rural areas,TRUE,3637.25,3.07,Increasing,Good,937413.48,TRUE
5363,Town B,28,0.99,10.89,9.17,High risk zone,Renovation of public parks,TRUE,4949.32,46.65,Stable,Average,783528.03,TRUE
9445,Coastal Area J,35,0.16,44.39,9.49,Low risk zone,Renovation of public parks,FALSE,2262.33,71.34,Increasing,Terrible,817367.65,TRUE
9776,Urban Area H,21,0.57,51.24,0.28,Low risk zone,Expansion of public transportation system,FALSE,8594.42,25.22,Stable,Excellent,180865.68,FALSE
8655,Suburb D,48,0.87,55.13,0.4,High risk zone,Renovation of public parks,TRUE,9194.55,49.58,Increasing,Terrible,902052.93,FALSE
3067,Neighborhood F,24,0.65,51.35,5.45,Low risk zone,Construction of new schools,FALSE,38.7,26.77,Decreasing,Excellent,927815.42,TRUE
6528,Coastal Area J,22,0.48,49.08,6.33,Low risk zone,Renovation of public parks,FALSE,2725.99,20.86,Decreasing,Terrible,301370.21,FALSE
9344,Neighborhood F,7,0.66,47.62,7.05,High risk zone,Renovation of public parks,FALSE,1447.78,1.64,Decreasing,Good,186917.18,TRUE
9451,Village C,27,0.51,57.72,2.31,Moderate risk zone,Expansion of public transportation system,TRUE,9385.19,80.66,Increasing,Good,527009.6,TRUE
4266,Village C,23,0.78,52.14,8.06,High risk zone,Renovation of public parks,FALSE,4140.02,23.82,Decreasing,Good,62039.93,FALSE
7291,Hamlet E,38,0.1,66.44,3.85,Moderate risk zone,Construction of new schools,FALSE,3741.58,44,Increasing,Terrible,654149.14,TRUE
3056,Town B,47,0.28,32.12,3.94,High risk zone,Expansion of public transportation system,TRUE,1270.71,10.41,Increasing,Excellent,295956.14,TRUE
1795,Hamlet E,4,0.67,41.61,1.83,Low risk zone,Renovation of public parks,FALSE,1954,90.71,Decreasing,Average,511670.75,TRUE
4427,Countryside I,24,0.93,94.93,4.83,High risk zone,Expansion of public transportation system,TRUE,6634.22,10.56,Increasing,Excellent,106001.16,TRUE
6643,Town B,24,0.43,64.48,4.47,Moderate risk zone,Expansion of public transportation system,TRUE,8663.99,28.81,Increasing,Good,350759.51,TRUE
3184,Village C,12,0.67,47.84,1.03,Low risk zone,Renovation of public parks,FALSE,5702.47,14.94,Decreasing,Good,579229.99,FALSE
9310,Town B,30,0.06,30.71,2.3,Low risk zone,Expansion of public transportation system,TRUE,4081.57,99.9,Increasing,Terrible,194385.6,FALSE
4896,Suburb D,27,0.07,61.41,6.32,High risk zone,Expansion of public transportation system,FALSE,6002.87,32.36,Increasing,Good,780391.44,FALSE
3715,Town B,42,0.02,26.82,0.89,High risk zone,Infrastructure development in rural areas,FALSE,5591.5,85.86,Decreasing,Excellent,319651.01,TRUE
4174,City A,4,0.63,42.14,2.79,Low risk zone,Expansion of public transportation system,TRUE,247.92,12.73,Decreasing,Terrible,668519.54,TRUE
9058,Town B,27,0.6,98.73,8.66,High risk zone,Infrastructure development in rural areas,FALSE,1374.24,10.06,Stable,Average,477276.65,TRUE
8100,Hamlet E,8,1,87.22,2.19,Moderate risk zone,Renovation of public parks,TRUE,695.23,45.01,Increasing,Excellent,862726.55,TRUE
9437,Rural Area G,45,0.8,12.67,1.96,High risk zone,Renovation of public parks,FALSE,3273.55,80.95,Increasing,Terrible,848628.29,FALSE
4690,Town B,7,0.02,28.05,1.15,Low risk zone,Renovation of public parks,FALSE,2740.09,47.62,Decreasing,Terrible,874358.8,TRUE
1335,Rural Area G,12,0.9,46.41,1.23,Low risk zone,Construction of new schools,FALSE,6054.54,12.98,Stable,Excellent,664357.73,FALSE
1961,Urban Area H,46,0.58,73.32,6.99,Moderate risk zone,Renovation of public parks,TRUE,4522.02,98.73,Increasing,Good,281945.44,TRUE
2450,Coastal Area J,28,0.3,75.05,0.18,High risk zone,Renovation of public parks,FALSE,7476.37,87.14,Decreasing,Poor,585630.5,TRUE
5052,Village C,30,0.9,5.99,4.3,Low risk zone,Infrastructure development in rural areas,TRUE,2901.98,95.73,Increasing,Terrible,115591.45,FALSE
1320,City A,16,0.93,32.14,5.8,Moderate risk zone,Construction of new schools,TRUE,6714.2,7.65,Decreasing,Average,509952.93,TRUE
4566,Countryside I,28,0.88,52.82,0.52,Moderate risk zone,Renovation of public parks,TRUE,2315,74.11,Decreasing,Poor,552173.55,FALSE
8590,Neighborhood F,38,0.28,28.1,2.72,Moderate risk zone,Expansion of public transportation system,TRUE,588.63,7.32,Decreasing,Good,715132.36,TRUE
4850,City A,5,0.83,33.35,1.11,High risk zone,Construction of new schools,FALSE,1566.72,6.55,Decreasing,Poor,113132.21,TRUE
8691,Urban Area H,26,0.33,66.35,8.84,High risk zone,Construction of new schools,FALSE,5499.96,20.75,Increasing,Terrible,288404.26,TRUE
1412,Neighborhood F,36,0.82,69.9,4.98,Low risk zone,Expansion of public transportation system,TRUE,9388.38,1.7,Decreasing,Good,60860.38,TRUE
1298,Suburb D,2,0.19,41.67,8.52,Low risk zone,Renovation of public parks,TRUE,3921.66,63.59,Increasing,Average,710346.06,TRUE
5510,Rural Area G,49,0.13,66.28,2.73,Moderate risk zone,Infrastructure development in rural areas,FALSE,3551.04,80.23,Decreasing,Terrible,128390.11,TRUE
4470,Town B,26,0.3,8.38,7.19,Low risk zone,Construction of new schools,FALSE,3822.16,60.35,Stable,Good,69296.2,TRUE
5525,Town B,46,0.35,21.76,3.51,Moderate risk zone,Infrastructure development in rural areas,FALSE,9699.14,83.49,Stable,Poor,541246.99,TRUE
8685,Hamlet E,29,0.52,17.16,4.72,Low risk zone,Expansion of public transportation system,FALSE,6259.88,22.94,Stable,Excellent,550378.27,FALSE
6203,Village C,37,0.17,94.86,8.95,Low risk zone,Infrastructure development in rural areas,TRUE,3191.59,89.53,Increasing,Terrible,211766.86,FALSE
9572,Hamlet E,37,0.4,62.67,4.29,Low risk zone,Renovation of public parks,TRUE,7839.26,14.15,Decreasing,Good,746994.87,FALSE
4659,Town B,8,0.16,39.93,1.43,Low risk zone,Renovation of public parks,FALSE,2587.07,58.52,Decreasing,Average,201340.63,FALSE
8029,Suburb D,16,0.28,59.17,7.36,High risk zone,Infrastructure development in rural areas,FALSE,8087.82,96.72,Increasing,Good,926355.9,FALSE
2023,Neighborhood F,21,0.11,21.82,4.52,Moderate risk zone,Renovation of public parks,FALSE,7894.7,97.3,Decreasing,Poor,74550.71,FALSE
7628,Town B,16,0.5,32.47,4.13,Moderate risk zone,Expansion of public transportation system,TRUE,8344.18,8.1,Increasing,Average,60198.81,FALSE
5349,Village C,3,0.27,25.23,9.07,Moderate risk zone,Expansion of public transportation system,FALSE,3222.84,72.42,Stable,Average,531493.72,TRUE
6422,City A,25,0.51,85.49,5.04,Moderate risk zone,Construction of new schools,FALSE,5933.8,74.08,Decreasing,Good,796852.9,TRUE
6085,Neighborhood F,38,0.98,65.18,2.43,Low risk zone,Expansion of public transportation system,FALSE,1138.05,54.74,Decreasing,Excellent,184852.76,FALSE
7424,Urban Area H,15,0.98,4.6,6.22,High risk zone,Construction of new schools,FALSE,7047.43,97.24,Stable,Terrible,556103.01,FALSE
7388,Hamlet E,40,0.3,77.6,2.15,Low risk zone,Construction of new schools,TRUE,3894.67,54.68,Stable,Good,167350.71,FALSE
4605,Village C,18,0.52,32.64,1.37,Moderate risk zone,Construction of new schools,FALSE,3602.09,10.81,Decreasing,Excellent,151089.16,FALSE
2341,Town B,49,0.55,19.52,9.74,Moderate risk zone,Infrastructure development in rural areas,FALSE,9418.26,35.66,Stable,Excellent,776571.04,FALSE
4153,Town B,33,0.22,53.63,6.54,Low risk zone,Expansion of public transportation system,TRUE,9097.08,52.09,Decreasing,Average,967092.36,TRUE
9962,City A,27,0.74,32.32,0.88,Moderate risk zone,Expansion of public transportation system,TRUE,7134.02,85.45,Stable,Poor,428519.48,TRUE
7092,Countryside I,19,0.21,24.5,5.93,Moderate risk zone,Construction of new schools,TRUE,6472.62,18.58,Stable,Excellent,910402.52,TRUE
1995,Urban Area H,48,0.22,24.16,1.26,High risk zone,Renovation of public parks,TRUE,6422.29,31.95,Decreasing,Poor,772495.11,FALSE
9902,Countryside I,34,0.27,62.92,4.7,Low risk zone,Renovation of public parks,TRUE,9825.1,83.31,Stable,Good,709350.85,TRUE
6000,Urban Area H,27,0.56,20.7,0.18,High risk zone,Expansion of public transportation system,FALSE,4933.29,81.93,Increasing,Excellent,209775.98,TRUE
1611,Suburb D,41,0.69,73.79,8.72,Moderate risk zone,Renovation of public parks,FALSE,4588.67,34.28,Stable,Average,128652.48,FALSE
8990,Urban Area H,27,0.36,3.04,1.86,Moderate risk zone,Renovation of public parks,FALSE,511.47,78.77,Increasing,Terrible,896450.08,TRUE
2321,Coastal Area J,5,0.65,17.41,9.51,Moderate risk zone,Infrastructure development in rural areas,TRUE,5020.39,5.65,Stable,Poor,157181.74,FALSE
6879,Hamlet E,50,0.68,58.63,1.85,Low risk zone,Expansion of public transportation system,FALSE,302.46,46.77,Increasing,Average,75537.44,FALSE
3477,Neighborhood F,33,0.58,98.47,7.01,Moderate risk zone,Renovation of public parks,TRUE,4680.62,83.81,Stable,Average,524482.75,TRUE
6030,Town B,2,0.21,72.44,9.1,Moderate risk zone,Construction of new schools,FALSE,5281.76,87.8,Stable,Good,565090.42,TRUE
5217,Neighborhood F,8,0.09,50.24,2.21,Moderate risk zone,Infrastructure development in rural areas,TRUE,6282.86,0.32,Stable,Average,453926.01,FALSE
3714,Rural Area G,18,0.69,89.33,0.94,High risk zone,Renovation of public parks,TRUE,2481.62,81.76,Increasing,Good,626727.61,TRUE
2154,Coastal Area J,25,0.36,38.36,9.87,High risk zone,Infrastructure development in rural areas,FALSE,9579.49,76.24,Stable,Good,399517.04,TRUE
8124,Neighborhood F,43,0.1,37.3,3.75,Moderate risk zone,Expansion of public transportation system,TRUE,5094.67,57.69,Increasing,Poor,891522.7,TRUE
1920,Urban Area H,48,0.06,87.57,4.37,Low risk zone,Renovation of public parks,TRUE,9632.63,75.07,Increasing,Terrible,855390.23,TRUE
6817,Neighborhood F,3,0.07,14.21,8.77,High risk zone,Construction of new schools,FALSE,4564.15,55.15,Decreasing,Poor,310874.56,FALSE
9985,Rural Area G,12,0.43,32.34,2.84,Moderate risk zone,Construction of new schools,TRUE,6700.63,29.7,Increasing,Excellent,148007.74,FALSE
5714,Town B,40,0.27,29.43,0.55,High risk zone,Renovation of public parks,TRUE,1716.75,2.54,Decreasing,Terrible,743460.21,TRUE
9756,City A,31,0.19,65.13,9.21,Moderate risk zone,Renovation of public parks,TRUE,1719.74,48.12,Stable,Terrible,376030.55,FALSE
4750,Neighborhood F,7,0.18,30.44,2.56,High risk zone,Renovation of public parks,TRUE,4302.56,92.36,Stable,Poor,948514.05,FALSE
1596,Neighborhood F,36,0.34,32.05,8.41,Low risk zone,Expansion of public transportation system,TRUE,7281.52,13.08,Stable,Poor,244615.59,FALSE
5607,Hamlet E,37,0.73,67.78,8.68,High risk zone,Construction of new schools,FALSE,7355.26,17.06,Stable,Terrible,254895.84,TRUE
1740,Town B,2,0.68,39.58,2.22,Moderate risk zone,Construction of new schools,TRUE,4246.34,1.28,Stable,Good,731490.54,FALSE
6643,Town B,28,0.33,52.7,4.95,Moderate risk zone,Infrastructure development in rural areas,TRUE,3428.46,6.59,Stable,Average,967635.31,TRUE
9924,Urban Area H,4,0.36,77.38,8.04,Moderate risk zone,Infrastructure development in rural areas,FALSE,8384.55,72.6,Increasing,Average,729402.25,TRUE
5045,Hamlet E,47,0.09,43.15,4.29,Moderate risk zone,Construction of new schools,TRUE,4582.01,17.22,Stable,Excellent,860028.79,FALSE
2048,Coastal Area J,49,0.99,32.42,0.45,Low risk zone,Infrastructure development in rural areas,TRUE,4033.77,5.64,Decreasing,Average,927274.01,FALSE
1573,Suburb D,29,0.96,28.4,3.41,Low risk zone,Expansion of public transportation system,FALSE,2678.26,77.18,Increasing,Excellent,593456.57,TRUE
6750,Town B,17,0.38,10.87,1.49,High risk zone,Renovation of public parks,TRUE,3851.13,60.51,Decreasing,Terrible,435695.54,TRUE
4999,Town B,6,0.12,3.6,0.67,High risk zone,Renovation of public parks,TRUE,2986.66,73.8,Stable,Excellent,877283.65,FALSE
5798,Village C,44,0.26,9.42,9.39,High risk zone,Infrastructure development in rural areas,FALSE,8007.42,31.72,Stable,Poor,298113.28,TRUE
7461,Rural Area G,16,0.08,5.53,4.65,Low risk zone,Construction of new schools,FALSE,5377.81,35.7,Stable,Poor,790324.33,TRUE
8517,City A,31,0.99,55.23,6.16,Moderate risk zone,Construction of new schools,FALSE,3243.72,46.02,Stable,Average,203987.77,TRUE
9567,Village C,30,0.49,2.37,3.26,Low risk zone,Renovation of public parks,TRUE,2565.64,10.45,Increasing,Poor,442643.76,TRUE
6832,Suburb D,21,0.49,13.09,4.97,Low risk zone,Renovation of public parks,FALSE,3523.72,46.29,Stable,Excellent,975798.27,TRUE
6452,City A,5,0.01,33.55,8.13,High risk zone,Renovation of public parks,TRUE,9518.64,22.8,Increasing,Poor,684547.02,TRUE
9095,Hamlet E,50,0.32,63.01,1.9,High risk zone,Infrastructure development in rural areas,TRUE,9551.79,33.53,Decreasing,Average,448866.34,FALSE
9273,Rural Area G,4,0.12,34.11,2.74,Moderate risk zone,Renovation of public parks,FALSE,9190.45,48.06,Decreasing,Poor,987595.9,FALSE
1990,Town B,34,0.26,70.13,2.63,Moderate risk zone,Expansion of public transportation system,TRUE,4654.66,30.77,Decreasing,Good,126522,TRUE
1576,Coastal Area J,32,0.17,96.29,4.21,High risk zone,Expansion of public transportation system,TRUE,2674.64,33.58,Increasing,Average,644918.97,TRUE
9906,Countryside I,27,0.77,36.43,0.54,Moderate risk zone,Renovation of public parks,TRUE,482.92,76.8,Decreasing,Good,515174.22,TRUE
9617,Town B,48,0.63,26.27,8.08,Low risk zone,Infrastructure development in rural areas,FALSE,4316.8,55.94,Decreasing,Good,211084.63,FALSE
3487,Neighborhood F,18,0.87,8.08,0.06,Low risk zone,Infrastructure development in rural areas,TRUE,5265.32,94.5,Increasing,Poor,667977.83,FALSE
3128,Town B,14,0.15,83.2,8.86,High risk zone,Infrastructure development in rural areas,TRUE,2934.36,43.78,Stable,Terrible,38928.09,TRUE
9466,Town B,22,0.1,12.61,2.07,Moderate risk zone,Construction of new schools,FALSE,733.94,86.27,Stable,Excellent,292051.88,TRUE
5274,Village C,27,0.11,69.12,2.49,Low risk zone,Infrastructure development in rural areas,TRUE,410.13,94.8,Stable,Excellent,364115.47,TRUE
5559,Rural Area G,32,0.36,45.78,7.94,Moderate risk zone,Renovation of public parks,TRUE,2550.6,72.43,Decreasing,Terrible,90916.61,FALSE
2229,Village C,46,0.93,36.34,1.83,Low risk zone,Infrastructure development in rural areas,FALSE,5243.72,62.21,Increasing,Excellent,265385.52,FALSE
1619,Neighborhood F,15,0.47,60.56,3.96,High risk zone,Construction of new schools,TRUE,2087.56,11.02,Increasing,Good,108358.28,FALSE
5320,Countryside I,6,0.71,2.57,9.48,Moderate risk zone,Renovation of public parks,FALSE,9286.29,76.99,Increasing,Average,450301.47,FALSE
6667,Neighborhood F,35,0.39,25.06,5.53,High risk zone,Renovation of public parks,FALSE,9178.51,24.34,Increasing,Poor,381517.83,TRUE
4102,City A,4,0.93,25.73,8.64,Moderate risk zone,Infrastructure development in rural areas,FALSE,9133.56,50.39,Stable,Good,583420.48,TRUE
1427,Neighborhood F,23,0.87,24.87,5.43,Low risk zone,Expansion of public transportation system,TRUE,1931.85,87.88,Stable,Average,478311.25,TRUE
2900,Urban Area H,8,0.32,87.37,6.86,High risk zone,Construction of new schools,TRUE,3777.55,68.79,Stable,Average,928369.43,FALSE
8668,Countryside I,13,0.57,28.46,9.41,Moderate risk zone,Infrastructure development in rural areas,FALSE,7435.52,18.9,Decreasing,Poor,151954.3,TRUE
6982,City A,42,0.58,71,6.95,Moderate risk zone,Renovation of public parks,TRUE,2013.33,54.76,Increasing,Terrible,129350.94,TRUE
1267,Neighborhood F,6,0.34,91.37,4.53,High risk zone,Expansion of public transportation system,FALSE,3307.99,30.83,Stable,Terrible,507712.26,TRUE
2937,Town B,35,0.41,83.96,9.21,Low risk zone,Infrastructure development in rural areas,TRUE,8764.85,8.91,Decreasing,Poor,395294.19,TRUE
4595,Hamlet E,16,0.09,20.25,3.48,Moderate risk zone,Renovation of public parks,TRUE,7029.28,11.27,Decreasing,Average,105949.8,TRUE
9096,Coastal Area J,50,0.32,65.37,8.3,High risk zone,Expansion of public transportation system,FALSE,7770.26,42.77,Increasing,Excellent,307461.33,TRUE
5951,Coastal Area J,50,0.69,23.62,9.98,Low risk zone,Infrastructure development in rural areas,TRUE,1053.92,38.77,Decreasing,Good,996328.35,FALSE
9526,Neighborhood F,44,0.23,42.14,8.67,Moderate risk zone,Infrastructure development in rural areas,FALSE,774.85,47.49,Stable,Terrible,409071.88,FALSE
1704,Urban Area H,41,0.14,51.35,4.05,Moderate risk zone,Renovation of public parks,FALSE,2808.81,70.62,Decreasing,Excellent,393879.04,FALSE
6309,Neighborhood F,18,0.7,8.32,8.46,High risk zone,Infrastructure development in rural areas,FALSE,7087.48,92.27,Increasing,Poor,573763.39,FALSE
6299,Suburb D,15,0.85,95.83,0.22,High risk zone,Renovation of public parks,FALSE,8152.68,18.84,Decreasing,Excellent,513873.4,TRUE
8972,City A,7,0.78,49.12,7.42,High risk zone,Construction of new schools,FALSE,543.83,95.9,Stable,Poor,973034.82,FALSE
8970,Rural Area G,8,0.97,13.54,2.4,Moderate risk zone,Expansion of public transportation system,FALSE,7834.59,81.36,Increasing,Excellent,666760.05,TRUE
1410,Town B,21,0.42,58.82,3.52,Moderate risk zone,Construction of new schools,TRUE,1227.85,23.46,Increasing,Terrible,442666.08,TRUE
5695,Countryside I,39,0.56,3.02,0.57,High risk zone,Construction of new schools,TRUE,4032.4,98.86,Stable,Excellent,44778.17,TRUE
1390,Rural Area G,27,0.81,86.96,7.77,Moderate risk zone,Renovation of public parks,TRUE,827.43,96.29,Stable,Excellent,320239.56,FALSE
7242,Coastal Area J,23,0.5,28.93,3.56,Moderate risk zone,Construction of new schools,FALSE,6787.67,39.7,Decreasing,Average,207071.63,FALSE
2687,Hamlet E,38,0.61,3,4.57,Moderate risk zone,Infrastructure development in rural areas,TRUE,5961.15,80.65,Decreasing,Poor,355405.3,FALSE
1603,City A,27,0.98,41.31,8.22,Moderate risk zone,Construction of new schools,FALSE,4062.12,38.98,Increasing,Excellent,846020.6,TRUE
3568,City A,1,0.54,59.94,3.74,Low risk zone,Infrastructure development in rural areas,TRUE,8277.74,76.33,Increasing,Average,344801.95,TRUE
6010,Countryside I,9,0.24,7.25,1.76,High risk zone,Infrastructure development in rural areas,FALSE,86.18,84.03,Stable,Good,316709.01,FALSE
3913,Rural Area G,45,0.79,65.63,7.34,Moderate risk zone,Renovation of public parks,TRUE,4478.29,89.03,Stable,Good,164045.25,FALSE
7469,Suburb D,34,0.54,55.47,8.41,Low risk zone,Renovation of public parks,TRUE,7254.8,49.18,Decreasing,Terrible,395271.79,TRUE
8265,Coastal Area J,27,0.03,73.74,9.39,Low risk zone,Infrastructure development in rural areas,TRUE,8889.7,60.49,Increasing,Terrible,317197.7,TRUE
8433,Town B,49,0.86,13.5,4.57,High risk zone,Renovation of public parks,FALSE,6019.74,9.33,Decreasing,Excellent,386126.08,TRUE
2890,City A,17,0.24,19.36,4.22,Low risk zone,Renovation of public parks,FALSE,3394.9,64.61,Decreasing,Terrible,524951.15,FALSE
1504,Rural Area G,3,0.91,82.67,8.08,Low risk zone,Renovation of public parks,TRUE,911.73,66.03,Increasing,Average,93928.57,TRUE
3232,City A,9,0.12,51.3,1.89,High risk zone,Renovation of public parks,FALSE,7780.68,67.64,Increasing,Poor,535350.12,FALSE
5999,Neighborhood F,45,0.7,6.68,9.77,High risk zone,Construction of new schools,TRUE,2860.32,52.06,Stable,Average,470726.56,FALSE
2353,Town B,32,0.13,44.73,3.82,Low risk zone,Construction of new schools,TRUE,4628.05,97.43,Increasing,Terrible,751240.63,TRUE
3255,Countryside I,6,0.12,95.17,7.47,Moderate risk zone,Renovation of public parks,FALSE,8180.04,61.06,Decreasing,Average,212007.61,FALSE
6720,Suburb D,28,0.39,40.8,7.35,Low risk zone,Infrastructure development in rural areas,TRUE,1494.96,70.63,Increasing,Terrible,209385.71,TRUE
3434,Town B,50,0.14,70.02,4.66,Moderate risk zone,Construction of new schools,FALSE,6707.32,65.18,Decreasing,Poor,341345.25,FALSE
4709,Hamlet E,42,0.34,99.48,9.02,Moderate risk zone,Renovation of public parks,TRUE,3377.18,7.14,Increasing,Excellent,168433.35,FALSE
2022,Neighborhood F,42,0.88,26.37,5.37,High risk zone,Construction of new schools,FALSE,3064.91,63.29,Stable,Average,89554.05,TRUE
5225,City A,6,0.56,80.27,1.67,Moderate risk zone,Expansion of public transportation system,TRUE,3505.39,93.08,Stable,Average,481573.33,FALSE
2365,Coastal Area J,46,0.12,95.08,6.92,Moderate risk zone,Renovation of public parks,FALSE,6487.82,0.42,Stable,Poor,916549.54,TRUE
5405,City A,41,0.74,75.58,8.12,Low risk zone,Infrastructure development in rural areas,TRUE,7758.87,73.57,Increasing,Good,604812.3,TRUE
9545,Rural Area G,12,0.45,31.67,0.92,High risk zone,Infrastructure development in rural areas,TRUE,9924.62,41.75,Increasing,Average,742278.1,FALSE
1601,Urban Area H,27,0.08,87.34,0.39,Moderate risk zone,Expansion of public transportation system,TRUE,2332.05,19.02,Decreasing,Excellent,972607.74,FALSE
4895,Urban Area H,40,0.13,33.28,0.32,Moderate risk zone,Expansion of public transportation system,TRUE,8139.26,22.78,Stable,Good,59815.4,FALSE
1563,Town B,23,0.87,9.54,0.4,Low risk zone,Construction of new schools,TRUE,7098.36,97.13,Stable,Terrible,866917.21,FALSE
3898,Hamlet E,45,0.6,5.77,0.27,High risk zone,Infrastructure development in rural areas,FALSE,690.47,47.04,Stable,Terrible,845694.3,FALSE
7140,Neighborhood F,21,0.46,72.28,6.18,Low risk zone,Expansion of public transportation system,FALSE,420.78,45.28,Stable,Good,268897.22,TRUE
3107,Village C,30,0.71,38.72,5.64,Moderate risk zone,Expansion of public transportation system,FALSE,6551.09,79.58,Increasing,Average,156586.05,TRUE
7403,Village C,46,0.97,88.77,0.31,High risk zone,Construction of new schools,TRUE,2553.78,62.4,Stable,Average,323335.02,FALSE
7027,City A,31,0.19,41.84,7.64,Moderate risk zone,Expansion of public transportation system,FALSE,4076.26,13.56,Stable,Good,821463.83,TRUE
7201,Village C,6,0.8,28.28,5.82,Low risk zone,Renovation of public parks,FALSE,1638.13,37.96,Decreasing,Excellent,106990.71,TRUE
3410,Neighborhood F,6,0.16,72.08,9.02,Low risk zone,Construction of new schools,FALSE,5423.53,35.62,Decreasing,Excellent,902483.4,TRUE
9549,Rural Area G,35,0.86,89.06,3.12,Low risk zone,Renovation of public parks,TRUE,3675.57,24.2,Stable,Average,724108.43,TRUE
3784,Town B,35,0.34,10.78,4.91,High risk zone,Renovation of public parks,FALSE,9721.39,88.37,Stable,Poor,362384,TRUE
9291,City A,15,0.42,96.01,2.01,Low risk zone,Construction of new schools,TRUE,3120.06,61.58,Stable,Poor,216486.67,TRUE
9360,Town B,42,0.46,85.44,5.08,Low risk zone,Expansion of public transportation system,TRUE,9825.62,43.08,Increasing,Good,829021.39,TRUE
1876,Rural Area G,47,0.51,18.7,4.76,High risk zone,Renovation of public parks,FALSE,7664.92,84.72,Stable,Excellent,47882.1,FALSE
6915,Hamlet E,41,0.94,44.3,5.74,Moderate risk zone,Construction of new schools,FALSE,287,58.89,Stable,Terrible,708844.85,FALSE
5663,City A,12,0.86,4.37,0.92,Low risk zone,Renovation of public parks,FALSE,8141.16,87.23,Decreasing,Poor,360560.19,TRUE
7366,Coastal Area J,33,0.83,46.78,9.44,High risk zone,Renovation of public parks,TRUE,8867.16,94.59,Decreasing,Poor,571458.24,TRUE
8413,Suburb D,47,0.86,25.95,6.36,Moderate risk zone,Construction of new schools,FALSE,519.79,89.75,Decreasing,Poor,670070.51,FALSE
6714,Suburb D,13,0.79,34.76,8,Low risk zone,Infrastructure development in rural areas,TRUE,6548.23,81.46,Decreasing,Good,773427.75,FALSE
9227,Coastal Area J,31,0.62,49.48,6.92,Low risk zone,Renovation of public parks,TRUE,983.61,52.08,Stable,Average,984956.78,TRUE
8831,Countryside I,5,0.6,70.13,9.63,Moderate risk zone,Infrastructure development in rural areas,FALSE,3123.94,64.69,Stable,Average,223646.97,TRUE
8789,City A,26,0.28,25.49,6.56,Moderate risk zone,Infrastructure development in rural areas,FALSE,1519.89,92.35,Decreasing,Average,188195.06,FALSE
5194,Countryside I,16,0.64,19.09,5.1,Low risk zone,Construction of new schools,FALSE,1350.4,20,Decreasing,Good,225270.81,TRUE
2987,Urban Area H,1,1,65.36,3.89,High risk zone,Construction of new schools,TRUE,2679.8,68.01,Decreasing,Excellent,84675.68,FALSE
3712,Countryside I,21,0.37,53.87,7.38,Low risk zone,Renovation of public parks,FALSE,7225.33,59.68,Stable,Excellent,40865.17,TRUE
3277,Neighborhood F,4,0.53,30.63,6.45,Low risk zone,Expansion of public transportation system,FALSE,9934.13,36.79,Increasing,Poor,669796.32,FALSE
2245,Village C,29,0.91,84.22,3.14,High risk zone,Infrastructure development in rural areas,TRUE,3919.17,85.87,Increasing,Terrible,536207.19,TRUE
3523,City A,26,0.46,42.05,9.4,Moderate risk zone,Infrastructure development in rural areas,FALSE,4585.74,27.86,Stable,Good,109890.92,FALSE
2561,Rural Area G,47,0.74,81.7,4.94,High risk zone,Infrastructure development in rural areas,TRUE,1598.87,46.22,Stable,Poor,369330,FALSE
1340,Town B,31,0.8,36.28,5.33,Low risk zone,Construction of new schools,FALSE,9566.47,23.69,Decreasing,Poor,570395.41,TRUE
4264,Coastal Area J,30,0.49,83.4,6.46,High risk zone,Infrastructure development in rural areas,FALSE,9024.73,7.85,Increasing,Poor,866891.57,FALSE
7027,Countryside I,28,0.28,62.56,8.17,High risk zone,Construction of new schools,TRUE,178.68,75,Decreasing,Excellent,768770.36,FALSE
7381,Rural Area G,31,0.69,47.45,8.89,Moderate risk zone,Expansion of public transportation system,TRUE,3085.34,65.63,Increasing,Terrible,306056.46,TRUE
8723,City A,41,0.98,5.86,3.87,Low risk zone,Infrastructure development in rural areas,TRUE,8149.9,62.99,Decreasing,Average,535405.67,TRUE
7088,Suburb D,42,0.69,36.32,3.75,High risk zone,Construction of new schools,TRUE,9084.75,40.24,Stable,Good,680568.43,FALSE
